,K1_EN,K2_EN,K3_EN,K1_1_STA,K1_2_STA,K2_1_STA,K2_2_STA,K3_1_STA,K3_2_STA,SW1_STA,SW2_STA,SW3_STA
Channel_1 ON,0,1,1,1,1,0,0,0,0,1,0,0
Channel_2 ON,1,0,1,0,0,1,1,0,0,0,1,0
Channel_3 ON,1,1,0,0,0,0,0,1,1,0,0,1
